Price,Close,High,Low,Open,Volume
Ticker,AAF.L,AAF.L,AAF.L,AAF.L,AAF.L
12-03-2020,38.58745575,47.66568185,37.25864192,47.50606482,1331177
13-03-2020,35.81411362,44.87238846,34.91626527,40.32329653,2630366
14-03-2020,,,,,
15-03-2020,,,,,
16-03-2020,29.17004395,38.92664627,27.67363265,35.81411184,3380603
17-03-2020,33.140522,33.65428925,25.67841654,30.54674215,2191386
18-03-2020,27.73348999,32.7414805,27.41425587,31.96334781,5365583
19-03-2020,29.92822647,31.42463779,27.01521235,28.63133742,2185190
20-03-2020,38.16845703,38.16845703,30.90587646,31.24506312,3936685
21-03-2020,,,,,
22-03-2020,,,,,
23-03-2020,38.82688904,38.90669948,34.49428038,36.91148412,1732712
24-03-2020,47.08707428,48.00487134,38.9066921,38.9066921,1700178
25-03-2020,49.98012924,52.72354959,46.02960485,48.34405371,1552867
26-03-2020,52.52403259,52.52403259,47.44621063,51.42666214,1509058
27-03-2020,48.88276672,54.86841163,45.55075757,54.66888937,2018259
28-03-2020,,,,,
29-03-2020,,,,,
30-03-2020,38.32808304,54.86841925,38.16846597,46.56832413,2017028
31-03-2020,41.02161789,54.86841057,38.58745705,40.14372606,1324799
01-04-2020,36.01362991,39.64492448,33.91865565,39.10621551,1450560
02-04-2020,38.90669632,39.40550012,33.61937681,36.51243656,694522
03-04-2020,38.80693436,40.67844553,34.37955242,37.21076003,924728
04-04-2020,,,,,
05-04-2020,,,,,
06-04-2020,40.95178986,44.39353672,37.46016337,40.65250835,847384
07-04-2020,40.25345993,44.10422538,40.25345993,41.94939339,1341985
08-04-2020,38.50764465,41.30094846,38.50764465,38.90668914,4090611
09-04-2020,42.94700623,43.79497497,39.10621851,40.30334838,1299026
10-04-2020,,,,,
11-04-2020,,,,,
12-04-2020,,,,,
13-04-2020,,,,,
14-04-2020,44.29376984,44.99209197,40.25345684,44.39352905,1593000
15-04-2020,37.65968704,44.39353837,35.42005904,44.39353837,1397043
16-04-2020,39.35562134,39.92724856,37.06112457,38.10861181,959885
17-04-2020,41.10142899,41.89951421,39.25585286,41.20118821,1843940
18-04-2020,,,,,
19-04-2020,,,,,
20-04-2020,37.06111908,41.84963418,37.06111908,40.90190632,598735
21-04-2020,35.91386795,40.45298106,35.74527357,37.31051989,811499
22-04-2020,38.65729141,39.80454158,36.91147825,36.91147825,1095408
23-04-2020,35.76422882,40.68143724,35.4150677,39.55514052,1205931
24-04-2020,37.65968704,40.85203214,35.41506993,36.86160172,1527209
25-04-2020,,,,,
26-04-2020,,,,,
27-04-2020,39.55513763,40.75226355,37.36040044,38.90669126,516796
28-04-2020,39.25585556,41.84963747,36.21315329,41.40071331,1123977
29-04-2020,39.85441971,40.75226416,38.058727,40.40310306,722287
30-04-2020,40.10382843,40.90191379,38.40190849,40.90191379,808469
01-05-2020,41.40070724,42.59783689,36.74986278,40.90190354,656312
02-05-2020,,,,,
03-05-2020,,,,,
04-05-2020,38.70716858,41.35082986,37.16087778,40.90190575,587891
05-05-2020,38.90669632,40.90191152,37.03817619,37.06112379,329338
06-05-2020,39.45537949,40.10382594,38.00884772,38.00884772,3452930
07-05-2020,37.9589653,41.50047123,37.46016154,41.30095277,979106
08-05-2020,,,,,
09-05-2020,,,,,
10-05-2020,,,,,
11-05-2020,39.65490341,42.3025534,38.05873272,39.75466265,1601845
12-05-2020,39.9043045,42.84724772,39.4055007,40.8520325,1393320
13-05-2020,40.50286484,42.44820031,37.71255945,39.50525729,3646019
14-05-2020,39.05633163,41.45058714,37.90908159,39.3556131,2093597
15-05-2020,38.90669632,42.74748405,36.11339581,38.90669632,2961324
16-05-2020,,,,,
